"Vehicle Name","Vehicle URL","Vehicle Image","Vehicle Type","Total Stops","Starting Point","Ending Point","Station List"
"BRT Metro Green Line","https://mnzil.app/./vehicles/BRT-Metro-Green-Line","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","BRT Metro Bus","23","Abdullah Chowk","Numaish Chowrangi","Abdullah Chowk
KDA Flats- Surjani
Karimi Chowrangi
4K Chowrangi
2 Minute Chowrangi
Road 2400 - Aisha Complex
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi
Annu Bhai Park
Enquiry Office
Nazimabad No. 1
Sanitary Market (Gulbahar)
Lasbela
Patel Para (Guru Mandir)
Numaish Chowrangi"
"BRT Metro Orange Line","https://mnzil.app/./vehicles/BRT-Metro-Orange-Line","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","BRT Metro Bus","4","Board Office Chowrangi","Nadra Center - Orangi Town","Board Office Chowrangi"
"11-C","https://mnzil.app/./vehicles/11-C","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","26","Akhtar Colony","Dow Ojha Campus",""
"16","https://mnzil.app/./vehicles/16","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","17","Bhains Colony Mor","Saddar","Bhains Colony Mor
Manzil Pump
Quaidabad
Malir Court
Malir 15
Kala Board Malir
Malir Halt
Chota Gate - Shah Faisal Colony
Shah Faisal Colony Gate
Nata Khan
Drigh Road
Karsaz
Baloch Colony Stop
Lal Kothi Shahrah-e-Faisal
Nursery
Gora Qabaristan
Saddar"
"20","https://mnzil.app/./vehicles/20","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","27","Ittehad Town","Shireen Jinnah Colony","Ittehad Town
Gulshan Ghazi
Baldia 9
Baldia 8
Rubi Mor
Police Training Center Saeedabad
Mach Mor
Baldia 4
Baldia 3
Baldia 2
Rasheedabad
GCT College Mor
SITE Police Station - A
METRO Manghopir Store
Habib Bank Chowrangi
Golimar Old
Rexer Line
Garden
Seventh-day Adventist Hospital
Saddar
Cantt station
Do Talwar
Driving License Office Clifton
Abdullah Shah Ghazi
Bilawal Chowrangi
Ziauddin University - Clifton
Shireen Jinnah Colony"
"4-E","https://mnzil.app/./vehicles/4-E","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","0","undefined","undefined",""
"4-H","https://mnzil.app/./vehicles/4-H","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","2","4K Chowrangi","Cantt station","4K Chowrangi"
"4-L","https://mnzil.app/./vehicles/4-L","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","22","Al Asif Square","Bolton Market",""
"4-Q","https://mnzil.app/./vehicles/4-Q","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","22","Gulzar-e-hijri","Tower","Gulzar-e-hijri
Paradise Bakery
Al Asif Square
Sohrab Goth
Ancholi
Water Pump
Ayesha Manzil
Karimabad - Meena Bazaar
Liaquatabad No.10 - Lalukhet
Guru Mandir
Jehangir Road
Numaish Chowrangi
Taj Complex Numaish
Seventh-day Adventist Hospital
Mobile Market Saddar
Urdu Bazar
Jama Cloth Market
Civil Hospital
Light House
City Court
Bolton Market
Tower"
"51","https://mnzil.app/./vehicles/51","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","3","New Town","Malir Halt","New Town
Liaquat national Hospital
Malir Halt"
"51A","https://mnzil.app/./vehicles/51A-","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","31","Lee Market","Ghaghar Phatak - Bin Qasim Town","Lee Market
Garden
Numaish Chowrangi
New Town
Liaquat national Hospital
Aga Khan Hospital
National Stadium
Millennium Mall
Central Ordnance Depot (COD)
Drigh Road
Nata Khan
Shah Faisal Colony Gate
Star Gate - Shah Faisal Colony
Chota Gate - Shah Faisal Colony
Wireless Gate Bus Stop
Malir Halt
Kala Board Malir
Malir 15
Malir Court
Murghi Khana
Quaidabad
Manzil Pump
Bhains Colony Mor
FAST University - Bhains Colony
Chowkandi Mor
Abdullah Goth
Port Qasim Mor
Razzaqabad
Steel Mill Mor
Pipri Goth
Ghaghar Phatak - Bin Qasim Town"
"52","https://mnzil.app/./vehicles/52","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","2","Malir Halt","Liaquat national Hospital","Malir Halt
Liaquat national Hospital"
